team,vs_hand,total_k,plate_appearances,k_rate
ATH,L,45.0,485.0,0.09278350515463918
ATH,R,105.0,592.0,0.17736486486486486
ATH,UNK,12.0,121.0,0.09917355371900827
ATL,L,38.0,484.0,0.07851239669421488
ATL,R,87.0,644.0,0.13509316770186336
ATL,UNK,3.0,115.0,0.02608695652173913
AZ,L,30.0,461.0,0.0650759219088937
AZ,R,99.0,555.0,0.1783783783783784
AZ,UNK,10.0,111.0,0.09009009009009009
BAL,L,25.0,522.0,0.04789272030651341
BAL,R,119.0,590.0,0.2016949152542373
BAL,UNK,5.0,114.0,0.043859649122807015
BOS,L,17.0,484.0,0.03512396694214876
BOS,R,114.0,588.0,0.19387755102040816
BOS,UNK,10.0,107.0,0.09345794392523364
CHC,L,53.0,531.0,0.09981167608286252
CHC,R,90.0,651.0,0.1382488479262673
CHC,UNK,10.0,136.0,0.07352941176470588
CIN,L,43.0,459.0,0.09368191721132897
CIN,R,98.0,598.0,0.16387959866220736
CIN,UNK,4.0,163.0,0.024539877300613498
CLE,L,40.0,586.0,0.06825938566552901
CLE,R,93.0,611.0,0.15220949263502456
COL,L,30.0,433.0,0.06928406466512702
COL,R,121.0,578.0,0.2093425605536332
COL,UNK,11.0,121.0,0.09090909090909091
CWS,L,44.0,438.0,0.1004566210045662
CWS,R,121.0,563.0,0.21492007104795738
CWS,UNK,7.0,142.0,0.04929577464788732
DET,L,12.0,377.0,0.03183023872679045
DET,R,128.0,589.0,0.21731748726655348
HOU,L,48.0,547.0,0.08775137111517367
HOU,R,74.0,616.0,0.12012987012987013
HOU,UNK,8.0,171.0,0.04678362573099415
KC,L,48.0,502.0,0.09561752988047809
KC,R,89.0,603.0,0.14759535655058043
KC,UNK,9.0,104.0,0.08653846153846154
LAA,L,35.0,537.0,0.06517690875232775
LAA,R,122.0,637.0,0.19152276295133439
LAA,UNK,10.0,166.0,0.060240963855421686
LAD,L,33.0,447.0,0.0738255033557047
LAD,R,94.0,605.0,0.15537190082644628
LAD,UNK,14.0,177.0,0.07909604519774012
MIA,L,43.0,581.0,0.07401032702237521
MIA,R,73.0,577.0,0.1265164644714038
MIA,UNK,12.0,182.0,0.06593406593406594
MIL,L,34.0,464.0,0.07327586206896551
MIL,R,90.0,604.0,0.1490066225165563
MIL,UNK,15.0,314.0,0.04777070063694268
MIN,L,66.0,553.0,0.11934900542495479
MIN,R,79.0,548.0,0.14416058394160583
MIN,UNK,12.0,191.0,0.06282722513089005
NYM,L,39.0,490.0,0.07959183673469387
NYM,R,89.0,609.0,0.14614121510673234
NYM,UNK,3.0,158.0,0.0189873417721519
NYY,L,38.0,414.0,0.09178743961352658
NYY,R,112.0,600.0,0.18666666666666668
NYY,UNK,4.0,194.0,0.020618556701030927
PHI,L,30.0,367.0,0.08174386920980926
PHI,R,96.0,594.0,0.16161616161616163
PHI,UNK,11.0,257.0,0.042801556420233464
PIT,L,37.0,424.0,0.08726415094339622
PIT,R,105.0,614.0,0.17100977198697068
PIT,UNK,6.0,176.0,0.03409090909090909
SD,L,25.0,478.0,0.05230125523012552
SD,R,88.0,588.0,0.14965986394557823
SD,UNK,7.0,188.0,0.03723404255319149
SEA,L,47.0,444.0,0.10585585585585586
SEA,R,103.0,597.0,0.17252931323283083
SEA,UNK,11.0,159.0,0.06918238993710692
SF,L,39.0,498.0,0.0783132530120482
SF,R,80.0,524.0,0.15267175572519084
SF,UNK,4.0,106.0,0.03773584905660377
STL,L,30.0,525.0,0.05714285714285714
STL,R,88.0,593.0,0.14839797639123103
STL,UNK,8.0,223.0,0.03587443946188341
TB,L,32.0,531.0,0.060263653483992465
TB,R,75.0,564.0,0.13297872340425532
TB,UNK,1.0,79.0,0.012658227848101266
TEX,L,49.0,484.0,0.1012396694214876
TEX,R,99.0,589.0,0.16808149405772496
TEX,UNK,7.0,120.0,0.058333333333333334
TOR,L,16.0,490.0,0.0326530612244898
TOR,R,96.0,600.0,0.16
TOR,UNK,3.0,126.0,0.023809523809523808
WSH,L,46.0,618.0,0.0744336569579288
WSH,R,72.0,618.0,0.11650485436893204
WSH,UNK,8.0,37.0,0.21621621621621623
