team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,75.0,3.4,278.0,16.0,retractable
ATL,,,,,open
BAL,,,,,open
BOS,,,,,open
CHC,,,,,open
CHW,43.1,14.5,22.0,85.0,open
CIN,78.8,11.1,230.0,30.0,open
CLE,,,,,open
COL,47.9,7.6,43.0,59.0,open
DET,66.7,11.7,225.0,53.0,open
HOU,,,,,retractable
KC,69.1,5.0,297.0,53.0,open
LAA,,,,,open
LAD,,,,,open
MIA,76.1,15.7,44.0,80.0,retractable
MIL,,,,,retractable
MIN,47.6,10.6,305.0,39.0,open
NYM,38.8,4.5,153.0,92.0,open
NYY,44.5,11.7,151.0,70.0,open
OAK,71.9,10.4,242.0,54.0,open
PHI,,,,,open
PIT,,,,,open
SD,62.0,1.8,284.0,91.0,open
SF,,,,,open
SEA,,,,,retractable
STL,,,,,open
TB,,,,,dome
TEX,,,,,retractable
TOR,,,,,retractable
WSH,,,,,open
