team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,,,,,retractable,0,unknown
ATL,,,,,open,135,unknown
BAL,79.2,6.1,262.0,34.0,open,30,cross
BOS,,,,,open,45,unknown
CHC,,,,,open,45,unknown
CHW,51.0,9.5,8.0,100.0,open,135,cross
CIN,77.0,11.9,257.0,46.0,open,100,in
CLE,62.9,8.4,230.0,83.0,open,0,cross
COL,56.3,6.5,149.0,12.0,open,0,in
DET,68.1,10.3,219.0,80.0,open,135,cross
HOU,69.3,5.0,170.0,91.0,retractable,330,in
KC,82.0,10.5,192.0,37.0,open,45,in
LAA,66.6,8.9,225.0,63.0,open,45,in
LAD,,,,,open,30,unknown
MIA,,,,,retractable,100,unknown
MIL,50.7,5.4,48.0,100.0,retractable,135,cross
MIN,,,,,open,90,unknown
NYM,,,,,open,5,unknown
NYY,81.0,12.3,155.0,42.0,open,90,cross
OAK,63.0,11.5,348.0,26.0,open,45,cross
PHI,,,,,open,5,unknown
PIT,84.0,18.1,229.0,33.0,open,100,cross
SD,57.4,4.3,125.0,82.0,open,0,cross
SF,69.8,15.4,8.0,15.0,open,90,cross
SEA,43.1,5.9,140.0,89.0,retractable,45,cross
STL,,,,,open,45,unknown
TB,79.5,9.7,285.0,45.0,dome,45,cross
TEX,82.8,13.7,178.0,53.0,retractable,135,out
TOR,61.6,4.8,233.0,95.0,retractable,0,cross
WSH,93.1,13.8,194.0,22.0,open,40,in
